citing_venue_count,citing_field_count,citing_institution_count,citing_country_count,citing_year_min,citing_year_max,citing_year_span,citing_works_sampled,top_citing_work_examples,citing_fields_sample,citing_countries_sample,paper_id,title,openalex_id
12.0,59.0,64.0,15.0,2008.0,2019.0,12.0,50,"[{'title': 'Cloud computing: state-of-the-art and research challenges', 'year': 2010, 'cited_by_count': 3459}, {'title': 'Network traffic characteristics of data centers in the wild', 'year': 2010, 'cited_by_count': 2163}, {'title': 'VL2', 'year': 2009, 'cited_by_count': 2102}, {'title': 'Data center TCP (DCTCP)', 'year': 2010, 'cited_by_count': 1814}, {'title': 'B4', 'year': 2013, 'cited_by_count': 1776}]","['Accounting', 'Agronomy', 'Algorithm', 'Art', 'Artificial intelligence', 'Automotive engineering', 'Biochemistry', 'Biology', 'Business', 'Chemistry', 'Computer architecture', 'Computer hardware', 'Computer network', 'Computer science', 'Computer security', 'Crystallography', 'Data mining', 'Data science', 'Database', 'Distributed computing']","['AU', 'BE', 'BR', 'CA', 'CH', 'CN', 'GB', 'HK', 'IE', 'IR', 'JP', 'PH', 'RO', 'SE', 'US']",sigcomm_2008_81bf07a4,"A Scalable, Commodity Data Center Network Architecture",https://openalex.org/W2130531694
22.0,52.0,68.0,21.0,2007.0,2021.0,15.0,50,"[{'title': 'In-Band Full-Duplex Wireless: Challenges and Opportunities', 'year': 2014, 'cited_by_count': 2303}, {'title': 'XORs in the Air: Practical Wireless Network Coding', 'year': 2008, 'cited_by_count': 2274}, {'title': 'Achieving single channel, full duplex wireless communication', 'year': 2010, 'cited_by_count': 1546}, {'title': 'Embracing wireless interference', 'year': 2007, 'cited_by_count': 1307}, {'title': 'Trading structure for randomness in wireless opportunistic routing', 'year': 2007, 'cited_by_count': 1098}]","['Acoustics', 'Algorithm', 'Artificial intelligence', 'Astronomy', 'Biochemistry', 'Biology', 'Chemistry', 'Combinatorics', 'Computer hardware', 'Computer network', 'Computer science', 'Computer security', 'Data science', 'Discrete mathematics', 'Distributed computing', 'Economics', 'Electrical engineering', 'Electronic engineering', 'Embedded system', 'Engineering']","['AU', 'CA', 'CH', 'CN', 'DE', 'DK', 'FI', 'FR', 'GB', 'GR', 'HK', 'IL', 'IN', 'JP', 'KR', 'NL', 'PT', 'RU', 'SA', 'TH']",sigcomm_2006_dfdc39e9,XORs in the air: practical wireless network coding,https://openalex.org/W2149863032
18.0,57.0,97.0,29.0,2012.0,2022.0,11.0,50,"[{'title': 'Software-Defined Networking: A Comprehensive Survey', 'year': 2014, 'cited_by_count': 4833}, {'title': 'Improving network management with software defined networking', 'year': 2013, 'cited_by_count': 1238}, {'title': 'A Survey on Software-Defined Networking', 'year': 2014, 'cited_by_count': 1063}, {'title': 'Are we ready for SDN? Implementation challenges for software-defined networks', 'year': 2013, 'cited_by_count': 989}, {'title': 'Software-Defined Networking (SDN) and Distributed Denial of Service (DDoS) Attacks in Cloud Computing Environments: A Survey, Some Research Issues, and Challenges', 'year': 2015, 'cited_by_count': 797}]","['Accounting', 'Aerospace engineering', 'Agronomy', 'Algorithm', 'Archaeology', 'Art', 'Artificial intelligence', 'Biology', 'Business', 'Chemistry', 'Classical mechanics', 'Computer architecture', 'Computer network', 'Computer science', 'Computer security', 'Data science', 'Database', 'Distributed computing', 'Ecology', 'Economic growth']","['AT', 'AU', 'BR', 'CA', 'CH', 'CN', 'CO', 'DE', 'DZ', 'FI', 'FR', 'GB', 'HK', 'IN', 'IR', 'JP', 'KR', 'LU', 'MA', 'MY']",sigcomm_2007_a54ec39d,Ethane: Taking control of the Enterprise,https://openalex.org/W2137845741
20.0,84.0,72.0,16.0,2008.0,2021.0,14.0,50,"[{'title': 'On the evolution of user interaction in Facebook', 'year': 2009, 'cited_by_count': 1457}, {'title': 'Defining and evaluating network communities based on ground-truth', 'year': 2013, 'cited_by_count': 1443}, {'title': 'De-anonymizing Social Networks', 'year': 2009, 'cited_by_count': 1318}, {'title': 'Usage, barriers and measurement of social media marketing: An exploratory investigation of small and medium B2B brands', 'year': 2011, 'cited_by_count': 1000}, {'title': 'An overview of online fake news: Characterization, detection, and discussion', 'year': 2019, 'cited_by_count': 988}]","['Accounting', 'Acoustics', 'Advertising', 'Agronomy', 'Algorithm', 'Anatomy', 'Anthropology', 'Archaeology', 'Art', 'Artificial intelligence', 'Biochemistry', 'Biology', 'Botany', 'Business', 'Cartography', 'Chemistry', 'Chromatography', 'Combinatorics', 'Communication', 'Computational biology']","['AT', 'BR', 'CA', 'CH', 'CN', 'DE', 'FI', 'FR', 'GB', 'IN', 'IT', 'JP', 'KR', 'NL', 'SG', 'US']",imc_2007_30656686,Measurement and analysis of online social networks,https://openalex.org/W2115022330
9.0,49.0,48.0,9.0,2004.0,2012.0,9.0,50,"[{'title': 'Wireless mesh networks: a survey', 'year': 2005, 'cited_by_count': 4001}, {'title': 'XORs in the Air: Practical Wireless Network Coding', 'year': 2008, 'cited_by_count': 2274}, {'title': 'ExOR', 'year': 2005, 'cited_by_count': 1354}, {'title': 'Embracing wireless interference', 'year': 2007, 'cited_by_count': 1307}, {'title': 'Trading structure for randomness in wireless opportunistic routing', 'year': 2007, 'cited_by_count': 1098}]","['Aerospace engineering', 'Archaeology', 'Artificial intelligence', 'Biology', 'Chemistry', 'Composite material', 'Computer hardware', 'Computer network', 'Computer science', 'Computer security', 'Data mining', 'Dentistry', 'Distributed computing', 'Economic growth', 'Economics', 'Embedded system', 'Engineering', 'Epistemology', 'Evolutionary biology', 'Geography']","['AU', 'DE', 'GB', 'GR', 'JP', 'PT', 'SE', 'TN', 'US']",sigcomm_2004_6c3596a0,Link-level measurements from an 802.11b mesh network,https://openalex.org/W2108481447
24.0,83.0,74.0,14.0,2005.0,2016.0,12.0,50,"[{'title': 'Resisting structural re-identification in anonymized social networks', 'year': 2008, 'cited_by_count': 544}, {'title': 'Towards a Theory of Scale-Free Graphs: Definition, Properties, and Implications', 'year': 2005, 'cited_by_count': 532}, {'title': 'DIMES', 'year': 2005, 'cited_by_count': 422}, {'title': 'Can ISPS and P2P users cooperate for improved performance?', 'year': 2007, 'cited_by_count': 393}, {'title': 'Systematic topology analysis and generation using degree correlations', 'year': 2006, 'cited_by_count': 276}]","['Acoustics', 'Algorithm', 'Archaeology', 'Architectural engineering', 'Art', 'Artificial intelligence', 'Biochemistry', 'Biology', 'Botany', 'Business', 'Cartography', 'Chemistry', 'Combinatorics', 'Communication', 'Composite material', 'Computational biology', 'Computational science', 'Computer network', 'Computer science', 'Computer security']","['AR', 'AU', 'BE', 'CA', 'CH', 'DE', 'DO', 'FR', 'GB', 'IL', 'IT', 'JP', 'NL', 'US']",sigcomm_2004_1c987b63,A first-principles approach to understanding the Internet's router-level topology,https://openalex.org/W2167677198
8.0,59.0,59.0,17.0,2006.0,2016.0,11.0,50,"[{'title': 'Software-Defined Networking: A Comprehensive Survey', 'year': 2014, 'cited_by_count': 4833}, {'title': 'A Survey of Software-Defined Networking: Past, Present, and Future of Programmable Networks', 'year': 2014, 'cited_by_count': 2160}, {'title': 'B4', 'year': 2013, 'cited_by_count': 1776}, {'title': 'A network in a laptop', 'year': 2010, 'cited_by_count': 1774}, {'title': 'Hedera: dynamic flow scheduling for data center networks', 'year': 2010, 'cited_by_count': 1465}]","['Agronomy', 'Algorithm', 'Archaeology', 'Art', 'Artificial intelligence', 'Biology', 'Business', 'Combinatorics', 'Computer architecture', 'Computer network', 'Computer science', 'Computer security', 'Data mining', 'Data science', 'Database', 'Distributed computing', 'Ecology', 'Economics', 'Economy', 'Electrical engineering']","['BR', 'CA', 'CH', 'CN', 'DE', 'ES', 'FI', 'FR', 'GB', 'GR', 'JP', 'KR', 'LU', 'PT', 'SE', 'SG', 'US']",ccr_2005_3ec7a6b7,A clean slate 4D approach to network control and management.,https://openalex.org/W2164284397
12.0,61.0,66.0,17.0,2002.0,2022.0,21.0,50,"[{'title': 'Data center TCP (DCTCP)', 'year': 2010, 'cited_by_count': 1814}, {'title': 'Power Awareness in Network Design and Routing', 'year': 2008, 'cited_by_count': 703}, {'title': 'Data center TCP (DCTCP)', 'year': 2010, 'cited_by_count': 528}, {'title': 'Optical Packet and Burst Switching Technologies for the Future Photonic Internet', 'year': 2006, 'cited_by_count': 519}, {'title': 'Reproducible network experiments using container-based emulation', 'year': 2012, 'cited_by_count': 500}]","['Algorithm', 'Ancient history', 'Art', 'Artificial intelligence', 'Astronomy', 'Biochemistry', 'Biology', 'Chemistry', 'Combinatorics', 'Computer network', 'Computer science', 'Computer security', 'Data mining', 'Dentistry', 'Discrete mathematics', 'Distributed computing', 'Ecology', 'Economic growth', 'Economics', 'Economy']","['AU', 'CA', 'CN', 'DE', 'FI', 'FR', 'GB', 'HK', 'IE', 'IL', 'IT', 'JP', 'KR', 'NO', 'PK', 'SE', 'US']",sigcomm_2004_6b41c296,Sizing router buffers,https://openalex.org/W1965095275
14.0,58.0,68.0,14.0,2003.0,2020.0,18.0,50,"[{'title': 'Layering as Optimization Decomposition: A Mathematical Theory of Network Architectures', 'year': 2007, 'cited_by_count': 1378}, {'title': 'FAST TCP: Motivation, Architecture, Algorithms, Performance', 'year': 2006, 'cited_by_count': 960}, {'title': 'Scalable TCP', 'year': 2003, 'cited_by_count': 875}, {'title': 'The Akamai network', 'year': 2010, 'cited_by_count': 717}, {'title': 'FAST TCP: motivation, architecture, algorithms, performance', 'year': 2005, 'cited_by_count': 628}]","['Accounting', 'Aerospace engineering', 'Agronomy', 'Algorithm', 'Archaeology', 'Art', 'Artificial intelligence', 'Biochemistry', 'Biology', 'Business', 'Chemistry', 'Composite material', 'Computer architecture', 'Computer network', 'Computer science', 'Computer security', 'Data mining', 'Database', 'Distributed computing', 'Ecology']","['AU', 'CA', 'CH', 'CN', 'DE', 'GB', 'HK', 'JP', 'KR', 'NO', 'PK', 'SE', 'TT', 'US']",sigcomm_2002_a31bf940,Congestion Control for High Bandwidth-Delay Product Networks,https://openalex.org/W2103701891
12.0,58.0,61.0,12.0,2002.0,2019.0,18.0,50,"[{'title': 'The Internet Topology Zoo', 'year': 2011, 'cited_by_count': 1657}, {'title': 'PlanetLab', 'year': 2003, 'cited_by_count': 1027}, {'title': 'Measuring ISP Topologies With Rocketfuel', 'year': 2004, 'cited_by_count': 1010}, {'title': 'SIMPLE-fying middlebox policy enforcement using SDN', 'year': 2013, 'cited_by_count': 648}, {'title': 'Elastic sketch', 'year': 2018, 'cited_by_count': 568}]","['Agronomy', 'Algorithm', 'Art', 'Artificial intelligence', 'Biochemistry', 'Biology', 'Business', 'Cartography', 'Chemistry', 'Combinatorics', 'Composite material', 'Computer network', 'Computer science', 'Computer security', 'Data mining', 'Data science', 'Database', 'Discrete mathematics', 'Distributed computing', 'Ecology']","['AU', 'BE', 'BR', 'CA', 'CN', 'DE', 'FR', 'GB', 'IL', 'NO', 'SG', 'US']",sigcomm_2002_a253844a,Measuring ISP Topologies with Rocketfuel,https://openalex.org/W2177058407
