publication_year,topic_label,paper_count,avg_citation_count,proportion
1974,Data Mining / Web,1,9.0,0.5
1974,Database / Systems,1,2029.0,0.5
1975,Database / Systems,1,711.0,0.5
1975,Machine Learning Theory,1,20.0,0.5
1976,Computer science,1,325.0,1.0
1978,Human-Computer Interaction,1,117.0,1.0
1979,Computer science,1,22.0,0.5
1979,Real-Time / Embedded Systems,1,73.0,0.5
1980,Database / Systems,1,103.0,0.5
1980,Natural Language Processing,1,316.0,0.5
1981,Data Mining / Web,1,702.0,1.0
1982,Computer Vision,2,390.0,0.6666666666666666
1982,Machine Learning Theory,1,120.0,0.3333333333333333
1983,Computer Vision,1,54.0,0.5
1983,Natural Language Processing,1,26.0,0.5
1984,Database / Systems,2,237.5,0.6666666666666666
1984,Natural Language Processing,1,538.0,0.3333333333333333
1985,Computer Vision,1,120.0,0.3333333333333333
1985,Database / Systems,1,166.0,0.3333333333333333
1985,Natural Language Processing,1,266.0,0.3333333333333333
1986,Computer science,1,56.0,0.3333333333333333
1986,Database / Systems,1,255.0,0.3333333333333333
1986,Fairness / Evaluation,1,21.0,0.3333333333333333
1987,Computer Vision,4,4744.75,0.36363636363636365
1987,Data Mining / Web,2,1070.0,0.18181818181818182
1987,Database / Systems,2,137.0,0.18181818181818182
1987,Natural Language Processing,1,98.0,0.09090909090909091
1987,Reinforcement Learning,1,881.0,0.09090909090909091
1987,Simplicity,1,909.0,0.09090909090909091
1988,Computer Vision,2,389.5,0.14285714285714285
1988,Computer science,1,227.0,0.07142857142857142
1988,Data Mining / Web,2,332.0,0.14285714285714285
1988,Database / Systems,4,1287.25,0.2857142857142857
1988,Human-Computer Interaction,2,2668.5,0.14285714285714285
1988,Implementation,1,89.0,0.07142857142857142
1988,Machine Learning Theory,1,121.0,0.07142857142857142
1988,Multicast,1,191.0,0.07142857142857142
1989,Computer Vision,1,359.0,0.16666666666666666
1989,Database / Systems,2,108.0,0.3333333333333333
1989,Human-Computer Interaction,1,16.0,0.16666666666666666
1989,Natural Language Processing,1,48.0,0.16666666666666666
1989,Real-Time / Embedded Systems,1,1724.0,0.16666666666666666
1990,Computer Vision,2,237.0,0.2857142857142857
1990,Data Mining / Web,1,425.0,0.14285714285714285
1990,Database / Systems,3,296.0,0.42857142857142855
1990,Machine Learning Theory,1,277.0,0.14285714285714285
1991,Computer Vision,1,752.0,0.3333333333333333
1991,Database / Systems,2,202.5,0.6666666666666666
1992,Cluster analysis,1,947.0,0.1111111111111111
1992,Data Mining / Web,1,82.0,0.1111111111111111
1992,Database / Systems,4,206.5,0.4444444444444444
1992,Fairness / Evaluation,1,807.0,0.1111111111111111
1992,Machine Learning Theory,2,856.0,0.2222222222222222
1993,Computer Vision,1,449.0,0.14285714285714285
1993,Data Mining / Web,1,149.0,0.14285714285714285
1993,Database / Systems,2,7436.0,0.2857142857142857
1993,Human-Computer Interaction,1,241.0,0.14285714285714285
1993,Natural Language Processing,1,90.0,0.14285714285714285
1993,Real-Time / Embedded Systems,1,1079.0,0.14285714285714285
1994,Computer Vision,1,368.0,0.14285714285714285
1994,Data Mining / Web,4,2909.0,0.5714285714285714
1994,Database / Systems,1,293.0,0.14285714285714285
1994,Natural Language Processing,1,1807.0,0.14285714285714285
1995,Computer Vision,3,2022.6666666666667,0.375
1995,Data Mining / Web,1,387.0,0.125
1995,Database / Systems,3,282.6666666666667,0.375
1995,Machine Learning Theory,1,608.0,0.125
1996,Citation,1,545.0,0.1111111111111111
1996,Computer Vision,2,9812.0,0.2222222222222222
1996,Data Mining / Web,2,2302.5,0.2222222222222222
1996,Database / Systems,2,1145.0,0.2222222222222222
