建议方向,paper_id,title,year,venue,topic_label_api,citation_count,recognition_lag,impact_breadth_score,manual_priority_score,manual_topic_label,one_sentence_contribution_zh,why_time_tested_zh,foundational_type,industry_impact_level,industry_impact_note_zh,evidence_url_1,evidence_url_2,display_priority,teammate,checked
偏 AAAI/IJCAI/ML/robotics,sigir_1985_03a95325,The Cluster Hypothesis Revisited,1985,SIGIR,Computer Vision,120,29,57.5,0.4135,,,,,,,,,,,no
偏 AAAI/IJCAI/ML/robotics,iccv_1990_d335338f,"Steerable filters for early vision, image analysis, and wavelet decomposition",1990,ICCV,Computer Vision,51,23,70.12,0.4111,,,,,,,,,,,no
偏 AAAI/IJCAI/ML/robotics,iccv_1999_f83b407c,Flexible Camera Calibration by Viewing a Plane from Unknown Orientations,1999,ICCV,Computer Vision,2583,14,71.88,0.4105,,,,,,,,,,,no
偏 AAAI/IJCAI/ML/robotics,www_2007_973301ac,YAGO: A Core of Semantic Knowledge Unifying WordNet and Wikipedia,2007,WWW,Data Mining / Web,1186,11,85.88,0.4036,,,,,,,,,,,no
偏 AAAI/IJCAI/ML/robotics,sigir_1988_7fa8009d,Towards Interactive Query Expansion,1988,SIGIR,Machine Learning Theory,121,26,60.75,0.4026,,,,,,,,,,,no
偏 AAAI/IJCAI/ML/robotics,sigir_1987_63b9a46d,Automatic Phrase Indexing for Document Retrieval,1987,SIGIR,Natural Language Processing,98,27,58.5,0.4017,,,,,,,,,,,no
偏 AAAI/IJCAI/ML/robotics,sigir_2003_73629bd4,Beyond independent relevance: methods and evaluation metrics for subtopic retrieval,2003,SIGIR,Natural Language Processing,2865,15,65.12,0.4013,,,,,,,,,,,no
偏 AAAI/IJCAI/ML/robotics,kdd_2005_ebddb36d,"Graphs over Time: Densification Laws, Shrinking Diameters and Possible Explanations",2005,KDD,Data Mining / Web,847,11,87.38,0.4008,Data Mining / Network Science,总结大规模真实网络随时间演化的 densification laws 与 shrinking diameters 现象。,breadth proxy 为 Top 12 最高之一，适合说明长期影响也可体现为跨领域网络分析框架。,empirical law / network analysis,medium-high,适合作为影响广度案例；需避免把 sampled breadth 写成完整引用网络。,https://doi.org/10.1145/1081870.1081893,https://cs.stanford.edu/people/jure/pubs/powergrowth-kdd05.pdf,3,,partial-source-added
偏 AAAI/IJCAI/ML/robotics,sigir_1999_c5218e0a,Probabilistic Latent Semantic Indexing,1999,SIGIR,Natural Language Processing,3933,15,57.12,0.3989,,,,,,,,,,,no
偏 AAAI/IJCAI/ML/robotics,aaai_1982_448fc0ce,Reverend Bayes on Inference Engines: A Distributed Hierarchical Approach,1982,AAAI,Computer Vision,756,18,72.12,0.3977,,,,,,,,,,,no
偏 AAAI/IJCAI/ML/robotics,emnlp_2002_bbd2b492,Thumbs up? Sentiment Classification using Machine Learning Techniques,2002,EMNLP,Natural Language Processing,2212,16,66.38,0.3976,,,,,,,,,,,no
偏 AAAI/IJCAI/ML/robotics,emnlp_2002_6452d908,Discriminative Training Methods for Hidden Markov Models: Theory and Experiments with Perceptron Algorithms,2002,EMNLP,Natural Language Processing,2868,16,61.75,0.3971,,,,,,,,,,,no
