建议方向,paper_id,title,year,venue,topic_label_api,citation_count,recognition_lag,impact_breadth_score,manual_priority_score,manual_topic_label,one_sentence_contribution_zh,why_time_tested_zh,foundational_type,industry_impact_level,industry_impact_note_zh,evidence_url_1,evidence_url_2,display_priority,annotator,checked
偏 ICCV/CVPR/vision/image,sigir_1994_13ffa355,A Sequential Algorithm for Training Text Classifiers,1994,SIGIR,Natural Language Processing,1807,20,60.25,0.3964,,,,,,,,,,,no
偏 ICCV/CVPR/vision/image,iccv_1998_aaed5ca1,A Metric for Distributions with Applications to Image Databases,1998,ICCV,Computer Vision,1736,15,70.62,0.3936,,,,,,,,,,,no
偏 ICCV/CVPR/vision/image,sigmod_1996_2e57c7b7,BIRCH: An Efficient Data Clustering Method for Very Large Databases,1996,SIGMOD,Data Mining / Web,3781,10,66.88,0.3921,,,,,,,,,,,no
偏 ICCV/CVPR/vision/image,sigcomm_1984_06999596,Congestion Control in IP/TCP Internetworks,1984,SIGCOMM,Database / Systems,429,22,61.0,0.3813,,,,,,,,,,,no
偏 ICCV/CVPR/vision/image,sigir_1989_e1368db3,Adaptive Information Retrieval: Using a Connectionist Representation to Retrieve and Learn about Documents,1989,SIGIR,Natural Language Processing,48,25,56.88,0.3802,,,,,,,,,,,no
偏 ICCV/CVPR/vision/image,sigcomm_2001_c9228ba7,Chord: A Scalable Peer-to-peer Lookup Service for Internet Applications,2001,SIGCOMM,Database / Systems,6403,10,44.62,0.3773,,,,,,,,,,,no
偏 ICCV/CVPR/vision/image,sigcomm_2001_841b16e4,A Scalable Content-addressable Network,2001,SIGCOMM,Database / Systems,6403,10,44.62,0.3773,,,,,,,,,,,no
偏 ICCV/CVPR/vision/image,acl_2002_1a4aaa49,BLEU: a Method for Automatic Evaluation of Machine Translation,2002,ACL,Natural Language Processing,542,16,71.75,0.3767,,,,,,,,,,,no
偏 ICCV/CVPR/vision/image,nips_2007_72016643,Random Features for Large-Scale Kernel Machines,2007,NIPS,Machine Learning Theory,2663,10,69.25,0.3739,,,,,,,,,,,no
偏 ICCV/CVPR/vision/image,oopsla_1987_a4a707e2,Self: The power of simplicity,1987,OOPSLA,Simplicity,909,20,59.75,0.3736,,,,,,,,,,,no
偏 ICCV/CVPR/vision/image,sigcomm_1999_71dae235,On Power-Law Relationships of the Internet Topology,1999,SIGCOMM,Data Mining / Web,4255,11,56.0,0.3732,,,,,,,,,,,no
偏 ICCV/CVPR/vision/image,sigcomm_1987_b342b594,Improving Round-Trip Time Estimates in Reliable Transport Protocols,1987,SIGCOMM,Database / Systems,194,19,66.38,0.3722,,,,,,,,,,,no
