建议方向,paper_id,title,year,venue,topic_label_api,citation_count,recognition_lag,impact_breadth_score,manual_priority_score,manual_topic_label,one_sentence_contribution_zh,why_time_tested_zh,foundational_type,industry_impact_level,industry_impact_note_zh,evidence_url_1,evidence_url_2,display_priority,annotator,checked
偏 ICSE/OOPSLA/PL/HCI/software engineering,iccv_1988_d325cb60,Geometric Hashing: A General and Efficient Model-Based Recognition Scheme,1988,ICCV,Computer Vision,778,21,57.88,0.3714,,,,,,,,,,,no
偏 ICSE/OOPSLA/PL/HCI/software engineering,kdd_2002_14fa3fe7,Optimizing Search Engines using Clickthrough Data,2002,KDD,Data Mining / Web,3918,13,53.38,0.371,,,,,,,,,,,no
偏 ICSE/OOPSLA/PL/HCI/software engineering,sigir_1983_d8cc96f7,A Study of the Overlap among Document Representations,1983,SIGIR,Natural Language Processing,26,31,41.12,0.3697,,,,,,,,,,,no
偏 ICSE/OOPSLA/PL/HCI/software engineering,sigir_1982_a22d476b,The Unified Probabilistic Model for IR,1982,SIGIR,Computer Vision,24,32,38.75,0.3689,,,,,,,,,,,no
偏 ICSE/OOPSLA/PL/HCI/software engineering,sigir_1998_6199a153,"The use of MMR, Diversity-based Reranking for Reordering Documents and Producing Summaries",1998,SIGIR,Natural Language Processing,2120,16,58.38,0.3679,,,,,,,,,,,no
偏 ICSE/OOPSLA/PL/HCI/software engineering,sigcomm_2006_dfdc39e9,XORs in the air: practical wireless network coding,2006,SIGCOMM,Computer network,2274,12,65.5,0.3666,,,,,,,,,,,no
偏 ICSE/OOPSLA/PL/HCI/software engineering,usenix_security_2004_8af63cc5,Tor: The Second-Generation Onion Router,2004,USENIX Security,Human-Computer Interaction,4019,10,57.75,0.3663,,,,,,,,,,,no
偏 ICSE/OOPSLA/PL/HCI/software engineering,sigir_1992_e446a5cb,Scatter/Gather: A Cluster-based approach to Browsing Large Document Collections,1992,SIGIR,Cluster analysis,947,22,52.5,0.3643,,,,,,,,,,,no
偏 ICSE/OOPSLA/PL/HCI/software engineering,sigcomm_1975_c8d8b477,"Selecting Sequence Numbers,",1975,SIGCOMM,Machine Learning Theory,20,31,39.38,0.3636,,,,,,,,,,,no
偏 ICSE/OOPSLA/PL/HCI/software engineering,sigir_1990_7aa5a101,Inference Networks for Document Retrieval,1990,SIGIR,Data Mining / Web,425,24,51.38,0.3629,,,,,,,,,,,no
偏 ICSE/OOPSLA/PL/HCI/software engineering,aaai_1994_fcd06997,A Filtering Algorithm for Constraints of Difference in CSPs,1994,AAAI,Data Mining / Web,667,19,60.12,0.3618,,,,,,,,,,,no
偏 ICSE/OOPSLA/PL/HCI/software engineering,aaai_1988_d39c76b4,Bayesian Classification,1988,AAAI,Data Mining / Web,506,19,60.88,0.3606,,,,,,,,,,,no
